channel,coverage_68,depth_max_km,depth_min_km,method,posterior_std_mean,scale_label,test_set
vp,0.6602538824081421,10.0,0.0,DI-Strong,0.4516276717185974,raw,in-prior
vs,0.679638683795929,10.0,0.0,DI-Strong,0.24665363132953644,raw,in-prior
rho,0.658203125,10.0,0.0,DI-Strong,0.10993988811969757,raw,in-prior
vp,0.591552734375,30.0,10.0,DI-Strong,0.26547712087631226,raw,in-prior
vs,0.6258300542831421,30.0,10.0,DI-Strong,0.11580826342105865,raw,in-prior
rho,0.593579113483429,30.0,10.0,DI-Strong,0.07291670888662338,raw,in-prior
vp,0.588134765625,60.0,30.0,DI-Strong,0.2701271176338196,raw,in-prior
vs,0.6078287959098816,60.0,30.0,DI-Strong,0.09943677484989166,raw,in-prior
rho,0.5907226800918579,60.0,30.0,DI-Strong,0.09471229463815689,raw,in-prior
vp,0.612109363079071,100.0,60.0,DI-Strong,0.21982643008232117,raw,in-prior
vs,0.646252453327179,100.0,60.0,DI-Strong,0.06952120363712311,raw,in-prior
rho,0.6106323003768921,100.0,60.0,DI-Strong,0.08409079164266586,raw,in-prior
vp,0.6558663249015808,128.0,100.0,DI-Strong,0.2376568615436554,raw,in-prior
vs,0.7523018717765808,128.0,100.0,DI-Strong,0.07528656721115112,raw,in-prior
rho,0.6560581922531128,128.0,100.0,DI-Strong,0.0930805653333664,raw,in-prior
vp,0.7107909917831421,10.0,0.0,DI-Strong,0.5032655000686646,temperature_scaled,in-prior
vs,0.7308593988418579,10.0,0.0,DI-Strong,0.2748553156852722,temperature_scaled,in-prior
rho,0.7066406011581421,10.0,0.0,DI-Strong,0.12251009047031403,temperature_scaled,in-prior
vp,0.640820324420929,30.0,10.0,DI-Strong,0.29583099484443665,temperature_scaled,in-prior
vs,0.6715087890625,30.0,10.0,DI-Strong,0.12904943525791168,temperature_scaled,in-prior
rho,0.643725574016571,30.0,10.0,DI-Strong,0.08125379681587219,temperature_scaled,in-prior
vp,0.6412597894668579,60.0,30.0,DI-Strong,0.30101263523101807,temperature_scaled,in-prior
vs,0.6571452021598816,60.0,30.0,DI-Strong,0.11080609261989594,temperature_scaled,in-prior
rho,0.6431640386581421,60.0,30.0,DI-Strong,0.10554143041372299,temperature_scaled,in-prior
vp,0.6614990234375,100.0,60.0,DI-Strong,0.2449607402086258,temperature_scaled,in-prior
vs,0.692797839641571,100.0,60.0,DI-Strong,0.07747004926204681,temperature_scaled,in-prior
rho,0.660229504108429,100.0,60.0,DI-Strong,0.09370549023151398,temperature_scaled,in-prior
vp,0.708984375,128.0,100.0,DI-Strong,0.2648298442363739,temperature_scaled,in-prior
vs,0.7948172688484192,128.0,100.0,DI-Strong,0.08389461040496826,temperature_scaled,in-prior
rho,0.7108851671218872,128.0,100.0,DI-Strong,0.10372312366962433,temperature_scaled,in-prior
vp,0.5809570550918579,10.0,0.0,DI-Strong,0.3478521406650543,raw,boundary
vs,0.6012207269668579,10.0,0.0,DI-Strong,0.19368508458137512,raw,boundary
rho,0.521044909954071,10.0,0.0,DI-Strong,0.09255671501159668,raw,boundary
vp,0.2826904356479645,30.0,10.0,DI-Strong,0.3167419731616974,raw,boundary
vs,0.28010255098342896,30.0,10.0,DI-Strong,0.15276770293712616,raw,boundary
rho,0.3667236268520355,30.0,10.0,DI-Strong,0.07374472171068192,raw,boundary
vp,0.27566730976104736,60.0,30.0,DI-Strong,0.3206951320171356,raw,boundary
vs,0.30227863788604736,60.0,30.0,DI-Strong,0.1327768713235855,raw,boundary
rho,0.3249674439430237,60.0,30.0,DI-Strong,0.09898213297128677,raw,boundary
vp,0.07568359375,100.0,60.0,DI-Strong,0.2970159649848938,raw,boundary
vs,0.15957030653953552,100.0,60.0,DI-Strong,0.13051120936870575,raw,boundary
rho,0.07708740234375,100.0,60.0,DI-Strong,0.10573267936706543,raw,boundary
vp,0.1771414577960968,128.0,100.0,DI-Strong,0.335154265165329,raw,boundary
vs,0.1973353773355484,128.0,100.0,DI-Strong,0.14746370911598206,raw,boundary
rho,0.1818324476480484,128.0,100.0,DI-Strong,0.12400337308645248,raw,boundary
vp,0.9815918207168579,10.0,0.0,DI-Strong,1.0993764400482178,temperature_scaled,boundary
vs,0.9857422113418579,10.0,0.0,DI-Strong,0.6121360659599304,temperature_scaled,boundary
rho,0.932080090045929,10.0,0.0,DI-Strong,0.2925228178501129,temperature_scaled,boundary
vp,0.7497802972793579,30.0,10.0,DI-Strong,1.001053810119629,temperature_scaled,boundary
vs,0.705981433391571,30.0,10.0,DI-Strong,0.4828178286552429,temperature_scaled,boundary
rho,0.888867199420929,30.0,10.0,DI-Strong,0.2330680638551712,temperature_scaled,boundary
vp,0.7520182132720947,60.0,30.0,DI-Strong,1.0135475397109985,temperature_scaled,boundary
vs,0.6846354007720947,60.0,30.0,DI-Strong,0.41963741183280945,temperature_scaled,boundary
rho,0.894482433795929,60.0,30.0,DI-Strong,0.3128301203250885,temperature_scaled,boundary
vp,0.42694091796875,100.0,60.0,DI-Strong,0.9387103915214539,temperature_scaled,boundary
vs,0.520336925983429,100.0,60.0,DI-Strong,0.4124768376350403,temperature_scaled,boundary
rho,0.542126476764679,100.0,60.0,DI-Strong,0.3341650664806366,temperature_scaled,boundary
vp,0.6382707953453064,128.0,100.0,DI-Strong,1.059245228767395,temperature_scaled,boundary
vs,0.6661725640296936,128.0,100.0,DI-Strong,0.466054767370224,temperature_scaled,boundary
rho,0.7298235297203064,128.0,100.0,DI-Strong,0.391909122467041,temperature_scaled,boundary
vp,0.5518554449081421,10.0,0.0,DI-Strong,0.41604575514793396,raw,out-of-prior
vs,0.5733398199081421,10.0,0.0,DI-Strong,0.22920925915241241,raw,out-of-prior
rho,0.4468750059604645,10.0,0.0,DI-Strong,0.12443642318248749,raw,out-of-prior
vp,0.17524413764476776,30.0,10.0,DI-Strong,0.39035335183143616,raw,out-of-prior
vs,0.15402832627296448,30.0,10.0,DI-Strong,0.1888420432806015,raw,out-of-prior
rho,0.21059569716453552,30.0,10.0,DI-Strong,0.0938306599855423,raw,out-of-prior
vp,0.13987630605697632,60.0,30.0,DI-Strong,0.4197678864002228,raw,out-of-prior
vs,0.14166666567325592,60.0,30.0,DI-Strong,0.1822519302368164,raw,out-of-prior
rho,0.1827799528837204,60.0,30.0,DI-Strong,0.13363529741764069,raw,out-of-prior
vp,0.04117431491613388,100.0,60.0,DI-Strong,0.36741724610328674,raw,out-of-prior
vs,0.05731201171875,100.0,60.0,DI-Strong,0.17029336094856262,raw,out-of-prior
rho,0.04310302808880806,100.0,60.0,DI-Strong,0.1324295699596405,raw,out-of-prior
vp,0.0870710089802742,128.0,100.0,DI-Strong,0.39115574955940247,raw,out-of-prior
vs,0.0735560804605484,128.0,100.0,DI-Strong,0.1790686398744583,raw,out-of-prior
