bin_left,bin_right,count,method,scale_label,test_set
0.0,0.05,57341,DI-Strong,raw,in-prior
0.05,0.1,35046,DI-Strong,raw,in-prior
0.1,0.15000000000000002,34440,DI-Strong,raw,in-prior
0.15000000000000002,0.2,34705,DI-Strong,raw,in-prior
0.2,0.25,34049,DI-Strong,raw,in-prior
0.25,0.30000000000000004,45279,DI-Strong,raw,in-prior
0.30000000000000004,0.35000000000000003,34411,DI-Strong,raw,in-prior
0.35000000000000003,0.4,33298,DI-Strong,raw,in-prior
0.4,0.45,34308,DI-Strong,raw,in-prior
0.45,0.5,35316,DI-Strong,raw,in-prior
0.5,0.55,46480,DI-Strong,raw,in-prior
0.55,0.6000000000000001,35636,DI-Strong,raw,in-prior
0.6000000000000001,0.65,35786,DI-Strong,raw,in-prior
0.65,0.7000000000000001,35349,DI-Strong,raw,in-prior
0.7000000000000001,0.75,34810,DI-Strong,raw,in-prior
0.75,0.8,46963,DI-Strong,raw,in-prior
0.8,0.8500000000000001,35534,DI-Strong,raw,in-prior
0.8500000000000001,0.9,36790,DI-Strong,raw,in-prior
0.9,0.9500000000000001,37211,DI-Strong,raw,in-prior
0.9500000000000001,1.0,63680,DI-Strong,raw,in-prior
0.0,0.05,42657,DI-Strong,temperature_scaled,in-prior
0.05,0.1,32037,DI-Strong,temperature_scaled,in-prior
0.1,0.15000000000000002,32844,DI-Strong,temperature_scaled,in-prior
0.15000000000000002,0.2,35084,DI-Strong,temperature_scaled,in-prior
0.2,0.25,35143,DI-Strong,temperature_scaled,in-prior
0.25,0.30000000000000004,48462,DI-Strong,temperature_scaled,in-prior
0.30000000000000004,0.35000000000000003,37422,DI-Strong,temperature_scaled,in-prior
0.35000000000000003,0.4,36861,DI-Strong,temperature_scaled,in-prior
0.4,0.45,37747,DI-Strong,temperature_scaled,in-prior
0.45,0.5,39265,DI-Strong,temperature_scaled,in-prior
0.5,0.55,51700,DI-Strong,temperature_scaled,in-prior
0.55,0.6000000000000001,39590,DI-Strong,temperature_scaled,in-prior
0.6000000000000001,0.65,39455,DI-Strong,temperature_scaled,in-prior
0.65,0.7000000000000001,38185,DI-Strong,temperature_scaled,in-prior
0.7000000000000001,0.75,37527,DI-Strong,temperature_scaled,in-prior
0.75,0.8,48729,DI-Strong,temperature_scaled,in-prior
0.8,0.8500000000000001,36269,DI-Strong,temperature_scaled,in-prior
0.8500000000000001,0.9,35167,DI-Strong,temperature_scaled,in-prior
0.9,0.9500000000000001,33440,DI-Strong,temperature_scaled,in-prior
0.9500000000000001,1.0,48848,DI-Strong,temperature_scaled,in-prior
0.0,0.05,457828,DI-Strong,raw,boundary
0.05,0.1,43632,DI-Strong,raw,boundary
0.1,0.15000000000000002,31576,DI-Strong,raw,boundary
0.15000000000000002,0.2,24479,DI-Strong,raw,boundary
0.2,0.25,19639,DI-Strong,raw,boundary
0.25,0.30000000000000004,22330,DI-Strong,raw,boundary
0.30000000000000004,0.35000000000000003,15102,DI-Strong,raw,boundary
0.35000000000000003,0.4,13775,DI-Strong,raw,boundary
0.4,0.45,12416,DI-Strong,raw,boundary
0.45,0.5,11970,DI-Strong,raw,boundary
0.5,0.55,15155,DI-Strong,raw,boundary
0.55,0.6000000000000001,11068,DI-Strong,raw,boundary
0.6000000000000001,0.65,10233,DI-Strong,raw,boundary
0.65,0.7000000000000001,9939,DI-Strong,raw,boundary
0.7000000000000001,0.75,9759,DI-Strong,raw,boundary
0.75,0.8,13216,DI-Strong,raw,boundary
0.8,0.8500000000000001,9926,DI-Strong,raw,boundary
0.8500000000000001,0.9,10745,DI-Strong,raw,boundary
0.9,0.9500000000000001,11680,DI-Strong,raw,boundary
0.9500000000000001,1.0,31964,DI-Strong,raw,boundary
0.0,0.05,66005,DI-Strong,temperature_scaled,boundary
0.05,0.1,72982,DI-Strong,temperature_scaled,boundary
0.1,0.15000000000000002,75617,DI-Strong,temperature_scaled,boundary
